"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20170726","26/07/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","26","207","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170727","27/07/2017 00:00:00","5","Thursday","Jueves","Jeudi","27","208","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170728","28/07/2017 00:00:00","6","Friday","Viernes","Vendredi","28","209","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170729","29/07/2017 00:00:00","7","Saturday","Sábado","Samedi","29","210","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170730","30/07/2017 00:00:00","1","Sunday","Domingo","Dimanche","30","211","31","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170731","31/07/2017 00:00:00","2","Monday","Lunes","Lundi","31","212","31","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170801","01/08/2017 00:00:00","3","Tuesday","Martes","Mardi","1","213","31","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170802","02/08/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","2","214","31","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170803","03/08/2017 00:00:00","5","Thursday","Jueves","Jeudi","3","215","31","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170804","04/08/2017 00:00:00","6","Friday","Viernes","Vendredi","4","216","31","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170805","05/08/2017 00:00:00","7","Saturday","Sábado","Samedi","5","217","31","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170806","06/08/2017 00:00:00","1","Sunday","Domingo","Dimanche","6","218","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170807","07/08/2017 00:00:00","2","Monday","Lunes","Lundi","7","219","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170808","08/08/2017 00:00:00","3","Tuesday","Martes","Mardi","8","220","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170809","09/08/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","9","221","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170810","10/08/2017 00:00:00","5","Thursday","Jueves","Jeudi","10","222","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170811","11/08/2017 00:00:00","6","Friday","Viernes","Vendredi","11","223","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170812","12/08/2017 00:00:00","7","Saturday","Sábado","Samedi","12","224","32","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170813","13/08/2017 00:00:00","1","Sunday","Domingo","Dimanche","13","225","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170814","14/08/2017 00:00:00","2","Monday","Lunes","Lundi","14","226","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170815","15/08/2017 00:00:00","3","Tuesday","Martes","Mardi","15","227","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170816","16/08/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","16","228","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170817","17/08/2017 00:00:00","5","Thursday","Jueves","Jeudi","17","229","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170818","18/08/2017 00:00:00","6","Friday","Viernes","Vendredi","18","230","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170819","19/08/2017 00:00:00","7","Saturday","Sábado","Samedi","19","231","33","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170820","20/08/2017 00:00:00","1","Sunday","Domingo","Dimanche","20","232","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170821","21/08/2017 00:00:00","2","Monday","Lunes","Lundi","21","233","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170822","22/08/2017 00:00:00","3","Tuesday","Martes","Mardi","22","234","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170823","23/08/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","23","235","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170824","24/08/2017 00:00:00","5","Thursday","Jueves","Jeudi","24","236","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170825","25/08/2017 00:00:00","6","Friday","Viernes","Vendredi","25","237","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170826","26/08/2017 00:00:00","7","Saturday","Sábado","Samedi","26","238","34","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170827","27/08/2017 00:00:00","1","Sunday","Domingo","Dimanche","27","239","35","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170828","28/08/2017 00:00:00","2","Monday","Lunes","Lundi","28","240","35","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170829","29/08/2017 00:00:00","3","Tuesday","Martes","Mardi","29","241","35","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170830","30/08/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","30","242","35","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170831","31/08/2017 00:00:00","5","Thursday","Jueves","Jeudi","31","243","35","August","Agosto","Août","8","3","2017","2","1","2018","1"
"20170901","01/09/2017 00:00:00","6","Friday","Viernes","Vendredi","1","244","35","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170902","02/09/2017 00:00:00","7","Saturday","Sábado","Samedi","2","245","35","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170903","03/09/2017 00:00:00","1","Sunday","Domingo","Dimanche","3","246","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170904","04/09/2017 00:00:00","2","Monday","Lunes","Lundi","4","247","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170905","05/09/2017 00:00:00","3","Tuesday","Martes","Mardi","5","248","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170906","06/09/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","6","249","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170907","07/09/2017 00:00:00","5","Thursday","Jueves","Jeudi","7","250","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170908","08/09/2017 00:00:00","6","Friday","Viernes","Vendredi","8","251","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170909","09/09/2017 00:00:00","7","Saturday","Sábado","Samedi","9","252","36","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170910","10/09/2017 00:00:00","1","Sunday","Domingo","Dimanche","10","253","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170911","11/09/2017 00:00:00","2","Monday","Lunes","Lundi","11","254","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170912","12/09/2017 00:00:00","3","Tuesday","Martes","Mardi","12","255","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170913","13/09/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","13","256","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170914","14/09/2017 00:00:00","5","Thursday","Jueves","Jeudi","14","257","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170915","15/09/2017 00:00:00","6","Friday","Viernes","Vendredi","15","258","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170916","16/09/2017 00:00:00","7","Saturday","Sábado","Samedi","16","259","37","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170917","17/09/2017 00:00:00","1","Sunday","Domingo","Dimanche","17","260","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170918","18/09/2017 00:00:00","2","Monday","Lunes","Lundi","18","261","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170919","19/09/2017 00:00:00","3","Tuesday","Martes","Mardi","19","262","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170920","20/09/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","20","263","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170921","21/09/2017 00:00:00","5","Thursday","Jueves","Jeudi","21","264","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170922","22/09/2017 00:00:00","6","Friday","Viernes","Vendredi","22","265","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170923","23/09/2017 00:00:00","7","Saturday","Sábado","Samedi","23","266","38","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170924","24/09/2017 00:00:00","1","Sunday","Domingo","Dimanche","24","267","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170925","25/09/2017 00:00:00","2","Monday","Lunes","Lundi","25","268","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170926","26/09/2017 00:00:00","3","Tuesday","Martes","Mardi","26","269","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170927","27/09/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","27","270","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170928","28/09/2017 00:00:00","5","Thursday","Jueves","Jeudi","28","271","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170929","29/09/2017 00:00:00","6","Friday","Viernes","Vendredi","29","272","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20170930","30/09/2017 00:00:00","7","Saturday","Sábado","Samedi","30","273","39","September","Septiembre","Septembre","9","3","2017","2","1","2018","1"
"20171001","01/10/2017 00:00:00","1","Sunday","Domingo","Dimanche","1","274","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171002","02/10/2017 00:00:00","2","Monday","Lunes","Lundi","2","275","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171003","03/10/2017 00:00:00","3","Tuesday","Martes","Mardi","3","276","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171004","04/10/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","4","277","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171005","05/10/2017 00:00:00","5","Thursday","Jueves","Jeudi","5","278","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171006","06/10/2017 00:00:00","6","Friday","Viernes","Vendredi","6","279","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171007","07/10/2017 00:00:00","7","Saturday","Sábado","Samedi","7","280","40","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171008","08/10/2017 00:00:00","1","Sunday","Domingo","Dimanche","8","281","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171009","09/10/2017 00:00:00","2","Monday","Lunes","Lundi","9","282","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171010","10/10/2017 00:00:00","3","Tuesday","Martes","Mardi","10","283","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171011","11/10/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","11","284","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171012","12/10/2017 00:00:00","5","Thursday","Jueves","Jeudi","12","285","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171013","13/10/2017 00:00:00","6","Friday","Viernes","Vendredi","13","286","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171014","14/10/2017 00:00:00","7","Saturday","Sábado","Samedi","14","287","41","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171015","15/10/2017 00:00:00","1","Sunday","Domingo","Dimanche","15","288","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171016","16/10/2017 00:00:00","2","Monday","Lunes","Lundi","16","289","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171017","17/10/2017 00:00:00","3","Tuesday","Martes","Mardi","17","290","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171018","18/10/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","18","291","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171019","19/10/2017 00:00:00","5","Thursday","Jueves","Jeudi","19","292","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171020","20/10/2017 00:00:00","6","Friday","Viernes","Vendredi","20","293","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171021","21/10/2017 00:00:00","7","Saturday","Sábado","Samedi","21","294","42","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171022","22/10/2017 00:00:00","1","Sunday","Domingo","Dimanche","22","295","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171023","23/10/2017 00:00:00","2","Monday","Lunes","Lundi","23","296","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171024","24/10/2017 00:00:00","3","Tuesday","Martes","Mardi","24","297","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171025","25/10/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","25","298","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171026","26/10/2017 00:00:00","5","Thursday","Jueves","Jeudi","26","299","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171027","27/10/2017 00:00:00","6","Friday","Viernes","Vendredi","27","300","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171028","28/10/2017 00:00:00","7","Saturday","Sábado","Samedi","28","301","43","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171029","29/10/2017 00:00:00","1","Sunday","Domingo","Dimanche","29","302","44","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171030","30/10/2017 00:00:00","2","Monday","Lunes","Lundi","30","303","44","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171031","31/10/2017 00:00:00","3","Tuesday","Martes","Mardi","31","304","44","October","Octubre","Octobre","10","4","2017","2","2","2018","1"
"20171101","01/11/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","1","305","44","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171102","02/11/2017 00:00:00","5","Thursday","Jueves","Jeudi","2","306","44","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171103","03/11/2017 00:00:00","6","Friday","Viernes","Vendredi","3","307","44","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171104","04/11/2017 00:00:00","7","Saturday","Sábado","Samedi","4","308","44","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171105","05/11/2017 00:00:00","1","Sunday","Domingo","Dimanche","5","309","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171106","06/11/2017 00:00:00","2","Monday","Lunes","Lundi","6","310","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171107","07/11/2017 00:00:00","3","Tuesday","Martes","Mardi","7","311","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171108","08/11/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","8","312","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171109","09/11/2017 00:00:00","5","Thursday","Jueves","Jeudi","9","313","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171110","10/11/2017 00:00:00","6","Friday","Viernes","Vendredi","10","314","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171111","11/11/2017 00:00:00","7","Saturday","Sábado","Samedi","11","315","45","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171112","12/11/2017 00:00:00","1","Sunday","Domingo","Dimanche","12","316","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171113","13/11/2017 00:00:00","2","Monday","Lunes","Lundi","13","317","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171114","14/11/2017 00:00:00","3","Tuesday","Martes","Mardi","14","318","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171115","15/11/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","15","319","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171116","16/11/2017 00:00:00","5","Thursday","Jueves","Jeudi","16","320","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171117","17/11/2017 00:00:00","6","Friday","Viernes","Vendredi","17","321","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171118","18/11/2017 00:00:00","7","Saturday","Sábado","Samedi","18","322","46","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171119","19/11/2017 00:00:00","1","Sunday","Domingo","Dimanche","19","323","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171120","20/11/2017 00:00:00","2","Monday","Lunes","Lundi","20","324","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171121","21/11/2017 00:00:00","3","Tuesday","Martes","Mardi","21","325","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171122","22/11/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","22","326","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171123","23/11/2017 00:00:00","5","Thursday","Jueves","Jeudi","23","327","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171124","24/11/2017 00:00:00","6","Friday","Viernes","Vendredi","24","328","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171125","25/11/2017 00:00:00","7","Saturday","Sábado","Samedi","25","329","47","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171126","26/11/2017 00:00:00","1","Sunday","Domingo","Dimanche","26","330","48","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171127","27/11/2017 00:00:00","2","Monday","Lunes","Lundi","27","331","48","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171128","28/11/2017 00:00:00","3","Tuesday","Martes","Mardi","28","332","48","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171129","29/11/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","29","333","48","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171130","30/11/2017 00:00:00","5","Thursday","Jueves","Jeudi","30","334","48","November","Noviembre","Novembre","11","4","2017","2","2","2018","1"
"20171201","01/12/2017 00:00:00","6","Friday","Viernes","Vendredi","1","335","48","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171202","02/12/2017 00:00:00","7","Saturday","Sábado","Samedi","2","336","48","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171203","03/12/2017 00:00:00","1","Sunday","Domingo","Dimanche","3","337","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171204","04/12/2017 00:00:00","2","Monday","Lunes","Lundi","4","338","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171205","05/12/2017 00:00:00","3","Tuesday","Martes","Mardi","5","339","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171206","06/12/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","6","340","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171207","07/12/2017 00:00:00","5","Thursday","Jueves","Jeudi","7","341","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171208","08/12/2017 00:00:00","6","Friday","Viernes","Vendredi","8","342","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171209","09/12/2017 00:00:00","7","Saturday","Sábado","Samedi","9","343","49","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171210","10/12/2017 00:00:00","1","Sunday","Domingo","Dimanche","10","344","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171211","11/12/2017 00:00:00","2","Monday","Lunes","Lundi","11","345","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171212","12/12/2017 00:00:00","3","Tuesday","Martes","Mardi","12","346","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171213","13/12/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","13","347","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171214","14/12/2017 00:00:00","5","Thursday","Jueves","Jeudi","14","348","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171215","15/12/2017 00:00:00","6","Friday","Viernes","Vendredi","15","349","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171216","16/12/2017 00:00:00","7","Saturday","Sábado","Samedi","16","350","50","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171217","17/12/2017 00:00:00","1","Sunday","Domingo","Dimanche","17","351","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171218","18/12/2017 00:00:00","2","Monday","Lunes","Lundi","18","352","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171219","19/12/2017 00:00:00","3","Tuesday","Martes","Mardi","19","353","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171220","20/12/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","20","354","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171221","21/12/2017 00:00:00","5","Thursday","Jueves","Jeudi","21","355","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171222","22/12/2017 00:00:00","6","Friday","Viernes","Vendredi","22","356","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171223","23/12/2017 00:00:00","7","Saturday","Sábado","Samedi","23","357","51","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171224","24/12/2017 00:00:00","1","Sunday","Domingo","Dimanche","24","358","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171225","25/12/2017 00:00:00","2","Monday","Lunes","Lundi","25","359","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171226","26/12/2017 00:00:00","3","Tuesday","Martes","Mardi","26","360","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171227","27/12/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","27","361","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171228","28/12/2017 00:00:00","5","Thursday","Jueves","Jeudi","28","362","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171229","29/12/2017 00:00:00","6","Friday","Viernes","Vendredi","29","363","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171230","30/12/2017 00:00:00","7","Saturday","Sábado","Samedi","30","364","52","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20171231","31/12/2017 00:00:00","1","Sunday","Domingo","Dimanche","31","365","53","December","Diciembre","Décembre","12","4","2017","2","2","2018","1"
"20180101","01/01/2018 00:00:00","2","Monday","Lunes","Lundi","1","1","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180102","02/01/2018 00:00:00","3","Tuesday","Martes","Mardi","2","2","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180103","03/01/2018 00:00:00","4","Wednesday","Miércoles","Mercredi","3","3","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180104","04/01/2018 00:00:00","5","Thursday","Jueves","Jeudi","4","4","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180105","05/01/2018 00:00:00","6","Friday","Viernes","Vendredi","5","5","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180106","06/01/2018 00:00:00","7","Saturday","Sábado","Samedi","6","6","1","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180107","07/01/2018 00:00:00","1","Sunday","Domingo","Dimanche","7","7","2","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180108","08/01/2018 00:00:00","2","Monday","Lunes","Lundi","8","8","2","January","Enero","Janvier","1","1","2018","1","3","2018","2"
"20180109","09/01/2018 00:00:00","3","Tuesday","Martes","Mardi","9","9","2","January","Enero","Janvier","1","1","2018","1","3","2018","2"
